Ingredient_Name,CAS_Numbers,Limit_Cat4
"6-Hydroxy-2,6-dimethylheptanal",62439-42-3,1.2
Isobutyl cinnamate,122-67-8,1.2
Isoeugenyl acetate,93-29-8,0.99
4-Methyl-1-propan-2-ylbicyclo[2.2.2]oct-2-ene-8-carboxylate,68966-86-9,0.94
Methyl vanillyl ether,5533-03-9,1.5
Myraldyl acetate,72403-67-9,0.43
Octahydro-dimethylnaphthalene-2-carbaldehyde (mixed isomers),68738-94-3|68738-96-5|68991-96-8|68991-97-9,2.1
p-Cresol,106-44-5|1319-77-3,0.005
Phenoxyacetaldehyde,2120-70-9,0.25
Carvomenthone,499-70-7|59471-80-6,1.9
4-tert-Butylcyclohexanone,98-53-3,0.15
"7-Methoxy-3,7-dimethyloct-1-ene",53767-86-5,1e-05
Methoxycyclododecane,2986-54-1,0.43
"3-Acetyl-2,5-dimethylfuran",10599-70-9,0.0
"2,5-Octadien-4-one, 5,6,7-trimethyl-, (2E)-",358331-95-0|357650-26-1|847144-75-6,0.11
