Natural_Name,Constituent_Name,Constituent_CAS,Percentage
Balm oil,"(E) 3,7-Dimethyl-3,6-octadienal (iso-Geranial)",72203-98-6,0.85
Balm oil,"(Z) 3,7-Dimethyl-3,6-octadienal (iso-Neral)",72203-97-5,0.4
Balm oil,Citronellal,106-23-0,6.88
Balm oil,Citronellyl acetate,150-84-5,1.35
Balm oil,dl-Citronellol,106-22-9,7.49
Balm oil,Geranial,141-27-5,29.6
Balm oil,Geraniol,106-24-1,3.79
Balm oil,Neral,106-26-3,16.68
"Lemongrass oil, East Indian","(E) 3,7-Dimethyl-3,6-octadienal (iso-Geranial)",72203-98-6,1.3
"Lemongrass oil, East Indian","(Z) 3,7-Dimethyl-3,6-octadienal (iso-Neral)",72203-97-5,0.78
"Lemongrass oil, East Indian",Citronellal,106-23-0,0.51
"Lemongrass oil, East Indian",Citronellyl acetate,150-84-5,0.23
"Lemongrass oil, East Indian",dl-Citronellol,106-22-9,0.25
"Lemongrass oil, East Indian",Eugenol,97-53-0,0.08
"Lemongrass oil, East Indian",Geranial,141-27-5,41.42
"Lemongrass oil, East Indian",Geraniol,106-24-1,5.25
"Lemongrass oil, East Indian",Isoeugenol,97-54-1,0.47
"Lemongrass oil, East Indian",Methyl eugenol,93-15-2,0.05
"Lemongrass oil, East Indian",Neral,106-26-3,30.54
"Lemongrass oil, West Indian","(E) 3,7-Dimethyl-3,6-octadienal (iso-Geranial)",72203-98-6,1.2
"Lemongrass oil, West Indian","(Z) 3,7-Dimethyl-3,6-octadienal (iso-Neral)",72203-97-5,1.0
"Lemongrass oil, West Indian",Citral,5392-40-5,73.0
"Lemongrass oil, West Indian",Citronellal,106-23-0,0.3
"Lemongrass oil, West Indian",Eugenol,97-53-0,0.2
"Lemongrass oil, West Indian",Geraniol,106-24-1,2.3
"Lemongrass oil, West Indian",Isoeugenol,97-54-1,0.5
Litsea cubeba oil,"(E) 3,7-Dimethyl-3,6-octadienal (iso-Geranial)",72203-98-6,1.0
Litsea cubeba oil,"(Z) 3,7-Dimethyl-3,6-octadienal (iso-Neral)",72203-97-5,0.4
Litsea cubeba oil,Citral,5392-40-5,69.0
Litsea cubeba oil,Citronellal,106-23-0,1.1
Litsea cubeba oil,dl-Citronellol,106-22-9,0.15
Litsea cubeba oil,Geraniol,106-24-1,1.1
Litsea cubeba oil,Longifolene,475-20-7,0.2
Litsea cubeba oil,Safrole,94-59-7,0.05
Petitgrain lemon oil,"(E) 3,7-Dimethyl-3,6-octadienal (iso-Geranial)",72203-98-6,0.5
Petitgrain lemon oil,"(Z) 3,7-Dimethyl-3,6-octadienal (iso-Neral)",72203-97-5,0.2
Petitgrain lemon oil,Citral,5392-40-5,23.0
Petitgrain lemon oil,Citronellal,106-23-0,1.0
Petitgrain lemon oil,Citronellyl acetate,150-84-5,0.2
Petitgrain lemon oil,Geraniol,106-24-1,2.0
"Bay leaf, West Indian, oil",1-Octen-3-yl acetate,2442-10-6,0.3
"Bay leaf, West Indian, oil",Estragole,140-67-0,0.1
"Bay leaf, West Indian, oil",Eugenol,97-53-0,51.0
"Bay leaf, West Indian, oil",Geranial,141-27-5,0.25
"Bay leaf, West Indian, oil",Methyl eugenol,93-15-2,2.0
"Bay leaf, West Indian, oil",Neral,106-26-3,0.2
"Erospicata oil, Mentha spicata 'Erospicata'",1-Octen-3-yl acetate,2442-10-6,0.06
"Erospicata oil, Mentha spicata 'Erospicata'",cis-3-Hexenyl isovalerate,35154-45-1,0.16
"Erospicata oil, Mentha spicata 'Erospicata'",Hexen-2-al,6728-26-3,0.07
"Erospicata oil, Mentha spicata 'Erospicata'",l-Carvone,6485-40-1,67.0
Lavandin abrialis oil,1-Octen-3-yl acetate,2442-10-6,0.2
Lavandin abrialis oil,2-Hexenal,505-57-7,0.02
Lavandin abrialis oil,7-Methoxycoumarin,531-59-9,0.01
Lavandin abrialis oil,Coumarin,91-64-5,0.2
Lavandin abrialis oil,Geraniol,106-24-1,0.3
Lavandin absolute,1-Octen-3-yl acetate,2442-10-6,1.09
Lavandin absolute,7-Methoxycoumarin,531-59-9,0.62
Lavandin absolute,alpha-Bisabolol,515-69-5,0.64
Lavandin absolute,Coumarin,91-64-5,1.77
Lavandin absolute,Geraniol,106-24-1,0.08
Lavandin grosso absolute,1-Octen-3-yl acetate,2442-10-6,0.14
Lavandin grosso absolute,7-Methoxycoumarin,531-59-9,2.0
Lavandin grosso absolute,alpha-Bisabolol,515-69-5,0.7
Lavandin grosso absolute,Benzyl alcohol,100-51-6,0.02
Lavandin grosso absolute,Coumarin,91-64-5,4.09
Lavandin grosso absolute,Eugenol,97-53-0,0.04
Lavandin grosso absolute,Geraniol,106-24-1,0.2
Lavandin grosso oil,1-Octen-3-yl acetate,2442-10-6,0.3
Lavandin grosso oil,alpha-Bisabolol,515-69-5,0.35
Lavandin oil,1-Octen-3-yl acetate,2442-10-6,0.3
Lavandin oil,7-Methoxycoumarin,531-59-9,0.01
Lavandin oil,alpha-Bisabolol,515-69-5,0.03
Lavandin oil,Geraniol,106-24-1,0.2
Lavandin super oil,1-Octen-3-yl acetate,2442-10-6,0.3
Lavandin super oil,alpha-Bisabolol,515-69-5,0.3
Lavandin super oil,Coumarin,91-64-5,0.1
Lavandin super oil,Geraniol,106-24-1,0.5
Lavender absolute,1-Octen-3-yl acetate,2442-10-6,0.31
Lavender absolute,7-Methoxycoumarin,531-59-9,3.8
Lavender absolute,Coumarin,91-64-5,5.98
Lavender absolute,Cuminaldehyde,122-03-2,0.06
Lavender concrete,1-Octen-3-yl acetate,2442-10-6,0.5
Lavender concrete,7-Methoxycoumarin,531-59-9,8.0
Lavender concrete,Geraniol,106-24-1,0.1
Lavender oil,1-Octen-3-yl acetate,2442-10-6,1.04
Lavender oil,2-Hexenal,505-57-7,0.01
Lavender oil,Geraniol,106-24-1,0.48
Lavender oil dentata,1-Octen-3-yl acetate,2442-10-6,0.0
Lavender oil dentata,Coumarin,91-64-5,0.35
Lavender oil dentata,Cuminaldehyde,122-03-2,0.2
Lavender oil dentata,Geraniol,106-24-1,0.0
Lavender oil dentata,l-Carvone,6485-40-1,0.3
Lavender oil dentata,p-Isopropylbenzyl alcohol,536-60-7,0.2
Mentha citrata oil,1-Octen-3-yl acetate,2442-10-6,0.25
Mentha citrata oil,Citral,5392-40-5,0.03
Mentha citrata oil,Estragole,140-67-0,0.3
Mentha citrata oil,Eugenol,97-53-0,0.01
Mentha citrata oil,Geraniol,106-24-1,1.17
Spearmint oil,1-Octen-3-yl acetate,2442-10-6,0.06
Spearmint oil,Hexen-2-al,6728-26-3,0.02
Spearmint oil,l-Carvone,6485-40-1,66.07
"Spearmint oil, Scotch",1-Octen-3-yl acetate,2442-10-6,0.06
"Spearmint oil, Scotch",Carvyl acetate,97-42-7,0.15
"Spearmint oil, Scotch",l-Carvone,6485-40-1,64.12
Anise seed oil,2-Hexenal,505-57-7,0.5
Anise seed oil,Estragole,140-67-0,2.39
Anise seed oil,p-Methoxybenzaldehyde,123-11-5,0.43
Clary sage absolute,2-Hexenal,505-57-7,0.04
Clary sage absolute,Geraniol,106-24-1,0.19
Clove leaf oil terpenes,2-Hexenal,505-57-7,0.01
Clove leaf oil terpenes,Eugenol,97-53-0,0.77
Coriander herb oil,2-Hexenal,505-57-7,0.02
Coriander herb oil,Geraniol,106-24-1,0.8
Grapefruit oil,2-Hexenal,505-57-7,0.03
Grapefruit oil,Citral,5392-40-5,0.1
Grapefruit oil,Citronellal,106-23-0,0.1
Grapefruit oil,Citronellal,106-23-0,0.1
Grapefruit oil,Geranial,141-27-5,0.06
Grapefruit oil,Neral,106-26-3,0.04
Jasmine sambac absolute,2-Hexenal,505-57-7,0.1
Jasmine sambac absolute,Benzyl alcohol,100-51-6,4.2
Jasmine sambac absolute,Benzyl benzoate,120-51-4,0.75
Jasmine sambac absolute,Benzyl cyanide,140-29-4,1.2
Jasmine sambac absolute,Benzyl salicylate,118-58-1,0.2
Jasmine sambac absolute,Cinnamic alcohol,104-54-1,0.15
Jasmine sambac absolute,Methyl N-formylanthranilate,41270-80-8,0.05
Jasmine sambac absolute,trans-trans-Farnesol,106-28-5,0.6
Jasmine sambac CO2 extract,2-Hexenal,505-57-7,0.01
Jasmine sambac CO2 extract,Benzyl alcohol,100-51-6,4.2
Jasmine sambac CO2 extract,Benzyl benzoate,120-51-4,0.75
Jasmine sambac CO2 extract,Benzyl cyanide,140-29-4,1.2
Jasmine sambac CO2 extract,Benzyl salicylate,118-58-1,0.15
Jasmine sambac CO2 extract,Cinnamic alcohol,104-54-1,0.15
Jasmine sambac CO2 extract,Methyl N-formylanthranilate,41270-80-8,0.05
Jasmine sambac CO2 extract,trans-trans-Farnesol,106-28-5,0.6
Laurel leaf oil,2-Hexenal,505-57-7,0.03
Laurel leaf oil,Estragole,140-67-0,0.16
Laurel leaf oil,Eugenol,97-53-0,1.33
Laurel leaf oil,Geraniol,106-24-1,0.05
Laurel leaf oil,Methyl eugenol,93-15-2,3.22
Petitgrain bigarade oil,2-Hexenal,505-57-7,0.09
Petitgrain bigarade oil,Citral,5392-40-5,0.65
Petitgrain bigarade oil,Citronellal,106-23-0,0.05
Petitgrain bigarade oil,Geraniol,106-24-1,2.4
"Pine Scotch, oil",2-Hexenal,505-57-7,0.02
"Pine Scotch, oil",Longifolene,475-20-7,0.09
Rose oil,2-Hexenal,505-57-7,0.02
Rose oil,Benzaldehyde,100-52-7,0.04
Rose oil,Benzyl alcohol,100-51-6,0.02
Rose oil,Benzyl benzoate,120-51-4,0.07
Rose oil,Citronellal,106-23-0,0.51
Rose oil,Citronellyl acetate,150-84-5,0.55
Rose oil,dl-Citronellol,106-22-9,32.5
Rose oil,Eugenol,97-53-0,1.14
Rose oil,Geranial,141-27-5,1.06
Rose oil,Geraniol,106-24-1,17.7
Rose oil,Methyl eugenol,93-15-2,2.0
Rose oil,Neral,106-26-3,0.79
Rose oil,trans-trans-Farnesol,106-28-5,1.37
Spike lavender oil,2-Hexenal,505-57-7,0.01
Spike lavender oil,Geraniol,106-24-1,0.2
Star anise oil,2-Hexenal,505-57-7,0.01
Star anise oil,Estragole,140-67-0,3.3
Star anise oil,p-Methoxybenzaldehyde,123-11-5,0.2
Tarragon oil,2-Hexenal,505-57-7,0.01
Tarragon oil,7-Methoxycoumarin,531-59-9,0.07
Tarragon oil,Estragole,140-67-0,80.0
Tarragon oil,Eugenol,97-53-0,0.6
Tarragon oil,Methyl eugenol,93-15-2,0.3
Violet leaf absolute,2-Hexenal,505-57-7,0.02
Violet leaf absolute,Benzyl alcohol,100-51-6,0.1
Wormwood oil,2-Hexenal,505-57-7,0.06
Wormwood oil,alpha-Thujone,546-80-5,3.0
Wormwood oil,beta-Thujone,471-15-8,42.0
Wormwood oil,Geraniol,106-24-1,0.1
Yarrow oil,2-Hexenal,505-57-7,0.02
Yarrow oil,alpha-Bisabolol,515-69-5,0.3
Yarrow oil,alpha-Thujone,546-80-5,2.0
Yarrow oil,beta-Thujone,471-15-8,0.6
Yarrow oil,Farnesol,4602-84-0,0.1
Yarrow oil,l-Carvone,6485-40-1,0.2
"Birch tar oil, rectified",2-Methyl-2-pentenal,623-36-9,0.05
"Birch tar oil, rectified",Cresol (unspecified),1319-77-3,1.8
Lavandin concrete,7-Methoxycoumarin,531-59-9,0.37
Lavandin concrete,alpha-Bisabolol,515-69-5,1.91
Lavandin concrete,alpha-Bisabolol,515-69-5,1.91
Lavandin concrete,Coumarin,91-64-5,1.21
"Lemon oil, expressed",7-Methoxycoumarin,531-59-9,0.05
"Lemon oil, expressed",Citral,5392-40-5,3.5
"Lemon oil, expressed",Citronellal,106-23-0,0.1
"Lemon oil, expressed",Geraniol,106-24-1,0.1
"Lime oil, expressed",7-Methoxycoumarin,531-59-9,0.21
"Lime oil, expressed",Citronellal,106-23-0,0.5
"Lime oil, expressed",Geranial,141-27-5,2.6
"Lime oil, expressed",Geraniol,106-24-1,0.15
"Lime oil, expressed",Neral,106-26-3,1.7
"Lime oil, expressed",trans-Carvyl acetate,1134-95-8,0.2
"Persian lime oil, expressed",7-Methoxycoumarin,531-59-9,0.28
"Persian lime oil, expressed",Citronellal,106-23-0,1.39
"Persian lime oil, expressed",Geranial,141-27-5,2.45
"Persian lime oil, expressed",Geraniol,106-24-1,0.12
"Persian lime oil, expressed",Neral,106-26-3,1.61
Horseradish oil,Allyl isothiocyanate,57-06-7,45.0
Angelica seed oil,alpha-Bisabolol,515-69-5,0.2
Angelica seed oil,Cyclopentadecanolide/omega-Pentadecalatone,106-02-5,0.29
Angelica seed oil,Longifolene,475-20-7,0.5
Arnica absolute,alpha-Bisabolol,515-69-5,0.15
Arnica absolute,Farnesol,4602-84-0,1.2
"Arnica oils, montana",alpha-Bisabolol,515-69-5,0.6
"Arnica oils, montana",Farnesol,4602-84-0,5.0
Baccharis dracunculifolia oil,alpha-Bisabolol,515-69-5,1.4
Baccharis dracunculifolia oil,Farnesol,4602-84-0,0.2
"Basil oil, chemotype linalool",alpha-Bisabolol,515-69-5,0.2
"Basil oil, chemotype linalool",Citronellyl acetate,150-84-5,0.1
"Basil oil, chemotype linalool",Estragole,140-67-0,0.95
"Basil oil, chemotype linalool",Eugenol,97-53-0,7.9
"Basil oil, chemotype linalool",Geraniol,106-24-1,0.2
"Basil oil, chemotype linalool",Methyl eugenol,93-15-2,0.2
Cabreuva oil,alpha-Bisabolol,515-69-5,2.0
Cabreuva oil,Farnesol,4602-84-0,0.1
Carrot seed oil,alpha-Bisabolol,515-69-5,0.28
Carrot seed oil,cis-Asarone/beta-Asarone,5273-86-9,0.05
Carrot seed oil,Farnesol,4602-84-0,2.18
Carrot seed oil,Geranial,141-27-5,0.03
Carrot seed oil,Geraniol,106-24-1,1.43
Carrot seed oil,l-Carvone,6485-40-1,0.05
Carrot seed oil,Neral,106-26-3,0.01
Carrot seed oil,p-Isopropylbenzyl alcohol,536-60-7,0.06
Carrot seed oil,trans-Asarone/alpha-Asarone,2883-98-9,0.19
"Cedarwood oil, Chinese",alpha-Bisabolol,515-69-5,0.6
"Cedarwood oil, Chinese",alpha-Cedrene,469-61-4,19.1
"Cedarwood oil, Chinese",beta-Cedrene,546-28-1,6.0
"Cedarwood oil, Texas",alpha-Bisabolol,515-69-5,0.15
"Cedarwood oil, Texas",alpha-Cedrene,469-61-4,12.0
"Cedarwood oil, Texas",beta-Cedrene,546-28-1,3.0
"Cedarwood oil, Texas",Longifolene,475-20-7,0.4
"Cedarwood oil, Virginian",alpha-Bisabolol,515-69-5,0.6
"Cedarwood oil, Virginian",alpha-Cedrene,469-61-4,24.3
"Cedarwood oil, Virginian",beta-Cedrene,546-28-1,5.9
"Chamomile flower oil, blue",alpha-Bisabolol,515-69-5,4.0
"Fir needle oil, Siberian",alpha-Bisabolol,515-69-5,0.2
"Fir needle oil, Siberian",Geraniol,106-24-1,0.03
Mastic oil,alpha-Bisabolol,515-69-5,0.08
Mastic oil,Geraniol,106-24-1,0.05
Mastic oil,Methyl eugenol,93-15-2,0.02
Populus nigra absolute,alpha-Bisabolol,515-69-5,0.2
Sandalwood oil,alpha-Bisabolol,515-69-5,0.22
"Sandalwood oil, Australian",alpha-Bisabolol,515-69-5,3.02
"Sandalwood oil, Australian",trans-trans-Farnesol,106-28-5,8.38
"Sandalwood oil, New Caledonian",alpha-Bisabolol,515-69-5,0.47
"Sandalwood oil, New Caledonian",trans-trans-Farnesol,106-28-5,0.85
Schinus terebenthifolius CO2 extract,alpha-Bisabolol,515-69-5,0.3
Schinus terebenthifolius CO2 extract,Citronellyl acetate,150-84-5,0.25
Turmeric oil,alpha-Bisabolol,515-69-5,0.1
Turmeric oil,Eugenol,97-53-0,1.0
Zdravetz oil,alpha-Bisabolol,515-69-5,2.0
Cananga oil,alpha-Cedrene,469-61-4,0.4
Cananga oil,Benzyl benzoate,120-51-4,4.2
Cananga oil,Benzyl salicylate,118-58-1,0.4
Cananga oil,Eugenol,97-53-0,0.4
Cananga oil,Farnesol,4602-84-0,2.0
Cananga oil,Geraniol,106-24-1,0.7
Cananga oil,Methyl eugenol,93-15-2,0.2
"Cedarwood oil, Atlas",alpha-Cedrene,469-61-4,1.5
"Cedarwood oil, Atlas",Longifolene,475-20-7,0.6
Cypress oil,alpha-Cedrene,469-61-4,0.36
Cypress oil,beta-Cedrene,546-28-1,0.38
Helichrysum absolute,alpha-Cedrene,469-61-4,0.08
Helichrysum absolute,Geraniol,106-24-1,0.03
Juniper berry oil,alpha-Cedrene,469-61-4,0.4
Juniper berry oil,beta-Thujone,471-15-8,0.05
Juniper berry oil,Citronellyl acetate,150-84-5,0.19
Juniper berry oil,Geraniol,106-24-1,0.1
Juniper berry oil,Longifolene,475-20-7,0.1
"Pine needle, dwarf, oil",alpha-Cedrene,469-61-4,0.25
"Pine needle, dwarf, oil",Longifolene,475-20-7,0.15
Verbena absolute,alpha-Cedrene,469-61-4,0.5
Verbena absolute,beta-Cedrene,546-28-1,0.1
Verbena absolute,cis-Asarone/beta-Asarone,5273-86-9,0.01
Verbena absolute,Citral,5392-40-5,25.6
Verbena absolute,dl-Citronellol,106-22-9,0.45
Verbena absolute,Eugenol,97-53-0,0.55
Verbena absolute,Geraniol,106-24-1,4.1
Verbena absolute,Methyl eugenol,93-15-2,0.1
Verbena absolute,trans-Asarone/alpha-Asarone,2883-98-9,0.1
Vetiver oil (all origins),alpha-Cedrene,469-61-4,0.2
Vetiver oil (all origins),beta-Cedrene,546-28-1,0.1
Armoise vulgaris oil,alpha-Thujone,546-80-5,50.0
Armoise vulgaris oil,beta-Thujone,471-15-8,7.5
Armoise vulgaris oil,Eugenol,97-53-0,1.0
Armoise vulgaris oil,Geraniol,106-24-1,1.0
Artemesia afra oil,alpha-Thujone,546-80-5,50.0
Artemesia afra oil,beta-Thujone,471-15-8,10.0
Artemisia herba-alba oil,alpha-Thujone,546-80-5,39.0
Artemisia herba-alba oil,beta-Thujone,471-15-8,10.0
Cedar leaf oil,alpha-Thujone,546-80-5,55.0
Cedar leaf oil,beta-Thujone,471-15-8,10.0
"Cedar leaf oil, China",alpha-Thujone,546-80-5,2.3
"Cedar leaf oil, China",beta-Thujone,471-15-8,10.0
Hyssop oil,alpha-Thujone,546-80-5,0.2
Hyssop oil,beta-Thujone,471-15-8,0.2
Hyssop oil,Estragole,140-67-0,0.17
Hyssop oil,Hexen-2-al,6728-26-3,0.2
Hyssop oil,Methyl eugenol,93-15-2,0.2
Mentha longifolia oil,alpha-Thujone,546-80-5,7.1
Mentha longifolia oil,beta-Thujone,471-15-8,1.0
Mentha longifolia oil,Carvone,99-49-0,1.0
Olibanum oil,alpha-Thujone,546-80-5,0.1
Olibanum oil,beta-Thujone,471-15-8,0.4
Olibanum sacra oil,alpha-Thujone,546-80-5,0.1
Olibanum sacra oil,beta-Thujone,471-15-8,0.2
Olibanum sacra oil,Carvone,99-49-0,0.3
Sage Dalmatian oil,alpha-Thujone,546-80-5,25.0
Sage Dalmatian oil,beta-Thujone,471-15-8,8.0
Sage Dalmatian oleoresin,alpha-Thujone,546-80-5,7.3
Sage Dalmatian oleoresin,beta-Thujone,471-15-8,2.7
"Sage oil, Spanish",alpha-Thujone,546-80-5,0.01
"Sage oil, Spanish",beta-Thujone,471-15-8,0.02
"Sage oil, Spanish",Geraniol,106-24-1,0.3
Sage oleoresin,alpha-Thujone,546-80-5,7.5
Sage oleoresin,beta-Thujone,471-15-8,2.5
Savory summer oil,alpha-Thujone,546-80-5,1.5
Savory summer oil,beta-Thujone,471-15-8,0.5
"Spruce oil, Black",alpha-Thujone,546-80-5,0.17
"Spruce oil, Black",dl-Citronellol,106-22-9,0.2
"Spruce oil, Black",Longifolene,475-20-7,0.25
Tansy oil,alpha-Thujone,546-80-5,0.5
Tansy oil,beta-Thujone,471-15-8,71.0
Cassie absolute,Anisyl alcohol,105-13-5,0.8
Cassie absolute,Benzaldehyde,100-52-7,0.3
Cassie absolute,Benzyl alcohol,100-51-6,2.7
Cassie absolute,Benzyl benzoate,120-51-4,0.05
Cassie absolute,Benzyl salicylate,118-58-1,0.03
Cassie absolute,Citral,5392-40-5,0.03
Cassie absolute,Eugenol,97-53-0,0.06
Cassie absolute,Geraniol,106-24-1,1.0
Cassie absolute,p-Methoxybenzaldehyde,123-11-5,1.0
Mimosa absolute,Anisyl alcohol,105-13-5,0.12
Mimosa absolute,Benzaldehyde,100-52-7,0.08
Mimosa absolute,Benzyl alcohol,100-51-6,0.19
Mimosa absolute,Benzyl benzoate,120-51-4,0.12
Mimosa absolute,Benzyl salicylate,118-58-1,0.02
Mimosa absolute,Eugenol,97-53-0,0.02
Mimosa absolute,p-Methoxybenzaldehyde,123-11-5,0.1
Vanilla absolute,Anisyl alcohol,105-13-5,0.03
Vanilla absolute,p-Methoxybenzaldehyde,123-11-5,0.03
Vanilla CO2 extract,Anisyl alcohol,105-13-5,0.02
Vanilla CO2 extract,p-Methoxybenzaldehyde,123-11-5,0.0
Vanilla oleoresin,Anisyl alcohol,105-13-5,0.7
Vanilla oleoresin,p-Methoxybenzaldehyde,123-11-5,0.03
Vanilla tahitensis absolute,Anisyl alcohol,105-13-5,0.07
Vanilla tahitensis absolute,p-Methoxybenzaldehyde,123-11-5,0.0
Vanilla tahitensis CO2 extract,Anisyl alcohol,105-13-5,0.0
Vanilla tahitensis CO2 extract,p-Methoxybenzaldehyde,123-11-5,0.0
Vanilla tincture,Anisyl alcohol,105-13-5,0.01
"Almond oil, bitter",Benzaldehyde,100-52-7,99.0
"Benzoin infusion, Sumatra",Benzaldehyde,100-52-7,0.001
"Benzoin infusion, Sumatra",Benzyl benzoate,120-51-4,0.018
"Benzoin infusion, Sumatra",Benzyl cinnamate,103-41-3,0.4
"Benzoin infusion, Sumatra",Cinnamic alcohol,104-54-1,0.006
"Benzoin infusion, Sumatra",Eugenol,97-53-0,0.001
Cajuput oil,Benzaldehyde,100-52-7,0.1
Cajuput oil,Geraniol,106-24-1,0.2
Cassia  bark oil,Benzaldehyde,100-52-7,1.3
Cassia  bark oil,Benzyl benzoate,120-51-4,0.08
Cassia  bark oil,Cinnamic alcohol,104-54-1,0.0
Cassia  bark oil,Cinnamic aldehyde,104-55-2,78.85
Cassia  bark oil,Coumarin,91-64-5,2.85
Cassia  bark oil,Eugenol,97-53-0,0.1
Cassia  bark oil,Isoeugenol,97-54-1,0.1
Cassia  bark oil,o-Methoxycinnamaldehyde,1504-74-1,0.7
Cassia bark oleoresin,Benzaldehyde,100-52-7,0.95
Cassia bark oleoresin,Benzyl benzoate,120-51-4,0.06
Cassia bark oleoresin,Cinnamic alcohol,104-54-1,0.37
Cassia bark oleoresin,Cinnamic aldehyde,104-55-2,46.23
Cassia bark oleoresin,Coumarin,91-64-5,3.27
Cassia bark oleoresin,Eugenol,97-53-0,0.02
Cassia bark oleoresin,o-Methoxycinnamaldehyde,1504-74-1,0.94
Cassia oil,Benzaldehyde,100-52-7,1.0
Cassia oil,Benzyl benzoate,120-51-4,0.1
Cassia oil,Cinnamic alcohol,104-54-1,0.2
Cassia oil,Cinnamic aldehyde,104-55-2,79.5
Cassia oil,Coumarin,91-64-5,2.0
Cassia oil,Eugenol,97-53-0,0.1
Cassia oil,Isoeugenol,97-54-1,0.1
Cassia oil,o-Methoxycinnamaldehyde,1504-74-1,9.0
Cinnamon bark CO2 extract,Benzaldehyde,100-52-7,0.1
